time_generated,oid,client_id,app_id,upn_or_app_name,business_unit_claim,cost_center_claim,model_name,model_version,deployment_region,prompt_tokens,completion_tokens,cached_prompt_tokens,total_tokens,requests,total_latency_ms,status_code,is_error,is_streaming,operation_name,api_name,backend_id,request_id,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-09-08T00:00:00Z,,0999cfae-085e-464f-a49d-f8851e3e5195,0999cfae-085e-464f-a49d-f8851e3e5195,checkout-service,Retail,CC-1000,gpt-4.1-mini,2025-04-14,eastus2,2950440,1526559,4241,4476999,4276,915.7,200,False,False,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-0999cfae-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,,0999cfae-085e-464f-a49d-f8851e3e5195,0999cfae-085e-464f-a49d-f8851e3e5195,checkout-service,Retail,CC-1000,gpt-4.1,2025-04-14,swedencentral,2346283,1118590,352656,3464873,3917,2245.2,500,True,True,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-0999cfae-gpt-4.1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,,dd6d3503-88f1-4fc9-a4d0-1a79c3aaf364,dd6d3503-88f1-4fc9-a4d0-1a79c3aaf364,search-api,Discovery,CC-2000,gpt-4.1-mini,2025-04-14,swedencentral,333704,187311,3063,521015,1414,1292.7,200,False,True,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-dd6d3503-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,,62a2cc36-edb8-4520-b7fe-05433a160c32,62a2cc36-edb8-4520-b7fe-05433a160c32,ds-notebooks,Platform,CC-3000,gpt-4.1-mini,2025-04-14,eastus2,1308630,477040,93037,1785670,3615,3388.8,200,False,False,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-62a2cc36-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,,7bec6f27-dc94-4d6d-b89a-3969513bc71e,7bec6f27-dc94-4d6d-b89a-3969513bc71e,mobile-assistant,Retail,CC-4000,gpt-4.1-mini,2025-04-14,swedencentral,1352010,604926,128082,1956936,2651,2982.9,200,False,True,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-7bec6f27-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,jenny.oyelaran,,,jenny.oyelaran@contoso.com,BU-TECH,CC-3000,gpt-4.1-mini,2025-04-14,swedencentral,54870,22483,5757,77353,93,2496.2,200,False,True,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-jenny.oy-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,dev.patel,,,dev.patel@contoso.com,BU-TECH,CC-3000,gpt-4.1-mini,2025-04-14,eastus2,40794,28218,3946,69012,78,2472.6,200,False,False,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-dev.pate-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,marco.silva,,,marco.silva@contoso.com,BU-INSURANCE,CC-1000,gpt-4.1,2025-04-14,swedencentral,47888,20428,8879,68316,82,2227.2,200,False,False,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-08-marco.si-gpt-4.1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-08,batch-2026-09-04,MOCK
2026-09-07T00:00:00Z,,0999cfae-085e-464f-a49d-f8851e3e5195,0999cfae-085e-464f-a49d-f8851e3e5195,checkout-service,Retail,CC-1000,gpt-4.1,2025-04-14,eastus2,1004562,694858,397,1699420,2106,2633.6,500,True,True,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-07-0999cfae-gpt-4.1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-07,batch-2026-09-04,MOCK
2026-09-07T00:00:00Z,,0999cfae-085e-464f-a49d-f8851e3e5195,0999cfae-085e-464f-a49d-f8851e3e5195,checkout-service,Retail,CC-1000,gpt-4.1-mini,2025-04-14,eastus2,2168388,689974,189544,2858362,3596,237.3,200,False,True,Chat Completions,AI Gateway,aoai-finops.openai.azure.com,req-2026-09-07-0999cfae-gpt-4.1-mini,2026-09-04T18:00:00Z,AI-FinOps-MOCK,apim.aigateway / loganalytics.ApiManagementGatewayLogs,2026-09-07,batch-2026-09-04,MOCK
