usageDate,tenantId,consumerId,consumerType,capability,meterId,meterName,billingType,creditsConsumed,unitPriceUsd,costUsd,currency,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-01,24bb70f1-e5cd-4e0f-9495-274ba9146731,marco.silva@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,78,0.01,0.78,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Agent action,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,46,0.01,0.46,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,65,0.01,0.65,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Generative answer,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,205,0.01,2.05,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-01,batch-2026-09-04,MOCK
2026-08-01,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,372,0.01,3.72,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-01,batch-2026-09-04,MOCK
2026-08-02,24bb70f1-e5cd-4e0f-9495-274ba9146731,jenny.oyelaran@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,349,0.01,3.49,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,24bb70f1-e5cd-4e0f-9495-274ba9146731,sam.chen@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,180,0.01,1.8,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,24bb70f1-e5cd-4e0f-9495-274ba9146731,dev.patel@contoso.com,User,Autopilot,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,338,0.01,3.38,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,24bb70f1-e5cd-4e0f-9495-274ba9146731,aisha.rahman@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,371,0.01,3.71,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-02,batch-2026-09-04,MOCK
2026-08-02,24bb70f1-e5cd-4e0f-9495-274ba9146731,lee.novak@contoso.com,User,Cowork,m365-copilot-credit,Microsoft 365 Copilot Credits,PayAsYouGo,83,0.01,0.83,USD,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.billing.copilotCredits,2026-08-02,batch-2026-09-04,MOCK
