report_date,user_id,user_principal_name,display_name,service,spending_policy_name,total_tasks,scheduled_tasks,user_initiated_tasks,credits_consumed,last_activity_date,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-09-08,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,17,5,12,1562,2026-09-08,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,28,8,20,2492,2026-09-08,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,23,10,13,1665,2026-09-08,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,sam.chen,sam.chen@contoso.com,Sam Chen,Cowork,Cowork - Discovery,3,0,3,366,2026-09-08,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-08,batch-2026-09-04,MOCK
2026-09-07,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,32,10,22,2439,2026-09-07,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,15,6,9,1320,2026-09-07,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,14,5,9,1179,2026-09-07,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,robin.hale,robin.hale@contoso.com,Robin Hale,Cowork,Cowork - Retail Ops,2,0,2,142,2026-09-07,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-07,batch-2026-09-04,MOCK
2026-09-06,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,27,9,18,2108,2026-09-06,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,14,4,10,1172,2026-09-06,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,dev.patel,dev.patel@contoso.com,Dev Patel,Cowork,Cowork - Engineering,14,6,8,1076,2026-09-06,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,sam.chen,sam.chen@contoso.com,Sam Chen,Cowork,Cowork - Discovery,2,1,1,115,2026-09-06,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-06,batch-2026-09-04,MOCK
2026-09-05,marco.silva,marco.silva@contoso.com,Marco Silva,Cowork,Cowork - Claims,24,4,20,1923,2026-09-05,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-05,batch-2026-09-04,MOCK
2026-09-05,jenny.oyelaran,jenny.oyelaran@contoso.com,Jenny Oyelaran,Cowork,Cowork - Engineering,15,6,9,1172,2026-09-05,2026-09-04T18:00:00Z,AI-FinOps-MOCK,m365.admin.copilot.costmanagement+coworkusagereport,2026-09-05,batch-2026-09-04,MOCK
